Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate
ATVI,ACTIVISION BLIZZARD INC,Communication,Equity,"15,847,907.30",0.15,"15,847,907.30","204,410.00",77.53,United States,NASDAQ,USD,1.00
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"15,806,218.26",0.15,"15,806,218.26","27,223.00",580.62,United States,NASDAQ,USD,1.00
F,FORD MOTOR CO,Consumer Discretionary,Equity,"15,760,078.28",0.15,"15,760,078.28","1,039,583.00",15.16,United States,New York Stock Exchange Inc.,USD,1.00
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"15,731,489.07",0.15,"15,731,489.07","36,567.00",430.21,United States,NASDAQ,USD,1.00
PXD,PIONEER NATURAL RESOURCE,Energy,Equity,"15,373,034.88",0.15,"15,373,034.88","63,588.00",241.76,United States,New York Stock Exchange Inc.,USD,1.00
AON,AON PLC CLASS A,Financials,Equity,"15,365,203.02",0.15,"15,365,203.02","55,203.00",278.34,United States,New York Stock Exchange Inc.,USD,1.00
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"15,179,620.02",0.15,"15,179,620.02","374,898.00",40.49,United States,New York Stock Exchange Inc.,USD,1.00
EQIX,EQUINIX REIT INC,Real Estate,Equity,"15,108,076.92",0.15,"15,108,076.92","23,937.00",631.16,United States,NASDAQ,USD,1.00
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,"14,973,130.06",0.15,"14,973,130.06","62,581.00",239.26,United States,New York Stock Exchange Inc.,USD,1.00
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,"14,973,199.36",0.15,"14,973,199.36","60,298.00",248.32,United States,New York Stock Exchange Inc.,USD,1.00
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"14,762,876.64",0.14,"14,762,876.64","145,763.00",101.28,United States,New York Stock Exchange Inc.,USD,1.00
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"14,754,534.73",0.14,"14,754,534.73","214,549.00",68.77,United States,New York Stock Exchange Inc.,USD,1.00
GM,GENERAL MOTORS,Consumer Discretionary,Equity,"14,728,354.91",0.14,"14,728,354.91","382,853.00",38.47,United States,New York Stock Exchange Inc.,USD,1.00
DG,DOLLAR GENERAL CORP,Consumer Discretionary,Equity,"14,640,424.80",0.14,"14,640,424.80","60,348.00",242.60,United States,New York Stock Exchange Inc.,USD,1.00
SHW,SHERWIN WILLIAMS,Materials,Equity,"14,634,397.11",0.14,"14,634,397.11","63,131.00",231.81,United States,New York Stock Exchange Inc.,USD,1.00
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"14,542,989.60",0.14,"14,542,989.60","64,670.00",224.88,United States,New York Stock Exchange Inc.,USD,1.00
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"14,512,653.75",0.14,"14,512,653.75","499,575.00",29.05,United States,New York Stock Exchange Inc.,USD,1.00
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,"14,474,385.38",0.14,"14,474,385.38","163,202.00",88.69,United States,New York Stock Exchange Inc.,USD,1.00
